,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
184,HGRU11,Híbrido,128.0,7.61,8.96,1.02,2356030000,3428420,68,4564.56,421.38,9.23,0.97
185,HILG11,Outros,203.55,7.2,0.47,1.09,107119000,620,1,3247.69,282.86,8.71,0.0
186,HLOG11,Logística,82.46,8.64,7.81,0.71,350455000,182019,5,1614.73,192.74,11.94,13.37
187,HMOC11,Shoppings,226.95,2.17,0.0,0.95,86698800,0,0,0.0,0.0,3.27,0.0
188,HOFC11,Lajes Corporativas,29.5,7.13,4.34,0.42,111481000,119627,4,2623.57,508.53,19.38,46.73
189,HOSI11,Híbrido,95.13,9.06,8.22,1.03,54552300,62344,2,0.0,0.0,0.0,0.0
190,HPDP11,Shoppings,88.94,6.55,6.87,0.93,292435000,238237,1,2130.63,157.52,7.39,1.85
191,HRDF11,Híbrido,3.37,3.11,0.0,0.43,5113720,926,0,0.0,0.0,0.0,0.0
192,HREC11,Títulos e Val Mob,8.7,11.76,10.7,0.96,448639000,1120750,0,0.0,0.0,0.0,0.0
193,HRES11,Híbrido,117.01,3.09,11.33,0.85,54789000,13677,0,0.0,0.0,0.0,0.0
194,HSAF11,Títulos e Val Mob,85.0,12.2,11.36,0.94,214741000,663203,0,0.0,0.0,0.0,0.0
195,HSLG11,Logística,86.9,9.04,9.69,0.83,1100160000,668242,5,2599.44,269.09,10.35,0.0
196,HSML11,Shoppings,93.82,6.74,9.32,0.98,1915630000,4279790,7,9458.91,898.7,9.5,5.02
197,HSRE11,Híbrido,108.99,6.53,6.7,1.15,969872000,927172,27,7993.47,628.24,7.86,1.21
198,HTMX11,Hotel,179.2,4.92,14.35,1.31,269577000,889743,22,331024.0,28212.56,8.52,0.0
199,HUCG11,Hospital,82.2,2.95,1.62,0.79,92228400,3726,2,3048.5,0.0,0.0,0.0
200,HUSC11,Outros,110.38,9.73,10.01,0.71,93913600,4555,1,1263.31,148.96,11.79,0.0
201,HUSI11,Hospital,1051.0,9.52,8.89,0.88,122296000,1232,1,5989.43,606.68,10.13,0.0
202,IAAG11,Títulos e Val Mob,11.0,9.03,9.46,1.14,59936400,117711,0,0.0,0.0,0.0,0.0
203,IAGR11,Títulos e Val Mob,3.03,38.01,25.51,0.35,8445020,30887,0,0.0,0.0,0.0,0.0
204,IBCR11,Títulos e Val Mob,70.87,11.58,15.87,0.79,67923400,186590,0,0.0,0.0,0.0,0.0
205,IBFF11,Títulos e Val Mob,66.4,8.28,0.0,0.93,44267600,0,0,0.0,0.0,0.0,0.0
206,ICRI11,Títulos e Val Mob,96.36,2.62,4.31,0.96,371695000,585477,0,0.0,0.0,0.0,0.0
207,IDFI11,Híbrido,9.4,21.37,126.36,0.46,19344500,173132,3,4804.31,0.0,0.0,0.0
208,IDGR11,Híbrido,9.0,15.48,109.39,1.29,7950230,1729,2,13967.0,0.0,0.0,0.0
209,IFID11,Títulos e Val Mob,80.06,16.79,0.0,1.06,59897000,0,0,0.0,0.0,0.0,0.0
210,IFIE11,Títulos e Val Mob,71.98,15.08,0.0,0.85,64817600,0,0,0.0,0.0,0.0,0.0
211,IRDM11,Títulos e Val Mob,72.75,13.27,12.85,0.84,2650560000,4348620,0,0.0,0.0,0.0,0.0
212,IRIM11,Híbrido,74.49,14.13,13.78,0.83,143021000,90755,0,0.0,0.0,0.0,0.0
213,ISCJ11,Títulos e Val Mob,60.01,4.23,0.0,0.43,18841300,3620,0,0.0,0.0,0.0,0.0
214,ITIP11,Títulos e Val Mob,80.7,16.65,9.88,1.07,60375800,130869,0,0.0,0.0,0.0,0.0
215,ITIT11,Títulos e Val Mob,75.0,14.48,9.39,0.89,67537000,157502,0,0.0,0.0,0.0,0.0
216,ITRI11,Híbrido,95.27,0.29,2.12,0.96,595438000,1762250,0,0.0,0.0,0.0,0.0
217,JASC11,Híbrido,115.77,4.15,5.58,1.08,403961000,27,16,5707.09,317.63,5.57,2.76
218,JBFO11,Títulos e Val Mob,82.01,8.96,4.46,1.0,104897000,0,0,0.0,0.0,0.0,0.0
219,JCCJ11,Títulos e Val Mob,155.0,1.41,1.91,0.84,258618000,1713660,0,0.0,0.0,0.0,0.0
220,JFLL11,Residencial,74.2,14.48,9.51,0.71,111344000,65962,2,7530.79,1292.78,17.17,9.0
221,JGPX11,Híbrido,80.66,10.53,15.03,0.85,172713000,476662,0,0.0,0.0,0.0,0.0
222,JPPA11,Híbrido,81.86,16.69,14.3,0.84,74005500,167827,0,0.0,0.0,0.0,0.0
223,JPPC11,Híbrido,151.02,-5.07,0.0,0.38,8306100,4,0,0.0,0.0,0.0,0.0
224,JRDM11,Shoppings,85.9,7.97,0.0,0.96,216723000,0,1,7394.68,671.49,9.08,1.19
225,JSAF11,Títulos e Val Mob,94.69,5.09,11.65,0.96,324882000,2511420,0,0.0,0.0,0.0,0.0
226,JSRE11,Híbrido,63.2,7.9,8.49,0.58,1312500000,2435040,6,11164.5,1039.91,9.31,8.41
227,KCRE11,Títulos e Val Mob,9.58,117.66,10.57,0.1,34488000,410500,0,0.0,0.0,0.0,0.0
228,KEVE11,Residencial,1100.05,0.22,7.0,1.34,162478000,33192,1,0.0,0.0,0.0,0.0
229,KFOF11,Títulos e Val Mob,90.2,6.56,10.17,0.94,632714000,1873340,0,0.0,0.0,0.0,0.0
230,KINP11,Residencial,9.82,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0
231,KISU11,Títulos e Val Mob,8.24,17.22,10.26,0.93,364175000,736429,0,0.0,0.0,0.0,0.0
232,KIVO11,Títulos e Val Mob,83.59,9.63,14.69,0.93,185798000,563097,0,0.0,0.0,0.0,0.0
233,KNCA11,Títulos e Val Mob,100.66,10.26,12.13,0.98,2174250000,3410500,0,0.0,0.0,0.0,0.0
234,KNCR11,Títulos e Val Mob,104.19,13.73,11.27,1.03,5948950000,11151000,0,0.0,0.0,0.0,0.0
235,KNHF11,Híbrido,97.22,5.15,9.98,0.97,1911660000,4120710,1,27180.3,3.24,0.01,0.0
236,KNHY11,Títulos e Val Mob,104.87,7.47,11.23,1.04,2954140000,4672330,0,0.0,0.0,0.0,0.0
